,Date,Year,Month,Recession,Consumer_Confidence,Seasonality_Weight,Price,Advertising_Expenditure,Competition,GDP,Growth_Rate,unemployment_rate,Automobile_Sales,Vehicle_Type,City
0,1980-01-31,1980,Jan,1,108.24,0.45,27704,1417.5,7,60.22,0.01,5.4,220.0,SmallFamilyCar,Georgia
1,1980-01-31,1980,Jan,1,108.24,0.45,77270,763.6999999999999,7,60.22,0.01,5.4,72.0,Sports,Georgia
2,1980-01-31,1980,Jan,1,108.24,0.36,19665,1417.5,7,60.22,0.01,5.4,238.0,SuperMiniCar,Georgia
3,1980-01-31,1980,Jan,1,108.24,0.38,36986,1417.5,7,60.22,0.01,5.4,224.0,MediumFamilyCar,Georgia
4,1980-02-29,1980,Feb,1,98.75,0.46,26609,2773.4,4,45.99,-0.31,4.8,280.0,SmallFamilyCar,New York
5,1980-02-29,1980,Feb,1,98.75,0.36,18963,2773.4,4,45.99,-0.31,4.8,266.0,SuperMiniCar,New York
6,1980-02-29,1980,Feb,1,98.75,0.39,33517,2773.4,4,45.99,-0.31,4.8,266.0,MediumFamilyCar,New York
7,1980-03-31,1980,Mar,1,107.48,0.85,33735,2854.6,3,35.14,-0.31,3.4,967.1,MediumFamilyCar,New York
8,1980-03-31,1980,Mar,1,107.48,0.86,70860,1537.1999999999998,3,35.14,-0.31,3.4,967.1,Sports,New York
9,1980-03-31,1980,Mar,1,107.48,0.87,52479,1537.1999999999998,3,35.14,-0.31,3.4,967.1,ExecutiveCar,New York
10,1980-04-30,1980,Apr,1,115.01,1.0,56484,809.9,7,45.67,0.23,4.2,260.0,ExecutiveCar,Illinois
11,1980-04-30,1980,Apr,1,115.01,1.0,15933,1504.3,7,45.67,0.23,4.2,695.0,SuperMiniCar,Illinois
12,1980-04-30,1980,Apr,1,115.01,1.0,75390,809.9,7,45.67,0.23,4.2,264.0,Sports,Illinois
13,1980-04-30,1980,Apr,1,115.01,1.0,25208,1504.3,7,45.67,0.23,4.2,716.0,SmallFamilyCar,Illinois
14,1980-04-30,1980,Apr,1,115.01,1.0,39352,1504.3,7,45.67,0.23,4.2,727.0,MediumFamilyCar,Illinois
15,1980-05-31,1980,May,1,98.72,0.98,25387,1200.5,4,53.0,0.14,5.3,798.0,SmallFamilyCar,California
16,1980-05-31,1980,May,1,98.72,0.8,59827,646.0999999999999,4,53.0,0.14,5.3,270.0,ExecutiveCar,California
17,1980-05-31,1980,May,1,98.72,0.86,75191,646.0999999999999,4,53.0,0.14,5.3,294.0,Sports,California
